index,State,Rank,Make/Model,Model Year,Thefts
0,Alabama,1.0,Chevrolet Pickup (Full Size),2005.0, 499 
1,Alabama,2.0,Ford Pickup (Full Size),2006.0, 357 
2,Alabama,3.0,Toyota Camry,2014.0, 205 
3,Alabama,4.0,Nissan Altima,2014.0, 191 
4,Alabama,4.0,Chevrolet Impala,2004.0, 191 
5,Alabama,5.0,Honda Accord,1998.0, 180 
6,Alabama,6.0,GMC Pickup (Full Size),1999.0, 152 
7,Alabama,7.0,Dodge Pickup (Full Size),1998.0, 138 
8,Alabama,8.0,Ford Mustang,2002.0, 122 
9,Alabama,9.0,Ford Explorer,2002.0, 119 
10,Alaska,1.0,Chevrolet Pickup (Full Size),2003.0, 147 
11,Alaska,2.0,Ford Pickup (Full Size),2004.0, 95 
12,Alaska,3.0,GMC Pickup (Full Size),1997.0, 58 
13,Alaska,4.0,Honda Civic,2000.0, 56 
14,Alaska,5.0,Honda Accord,1993.0, 46 
15,Alaska,6.0,Dodge Pickup (Full Size),1998.0, 44 
16,Alaska,7.0,Ford Explorer,1994.0, 31 
17,Alaska,8.0,Jeep Cherokee/Grand Cherokee,1999.0, 28 
18,Alaska,9.0,Ford Pickup (Small Size),2000.0, 22 
19,Alaska,10.0,Chevrolet Pickup (Small Size),1998.0, 20 
20,Arizona,1.0,Honda Accord,1997.0," 1,072 "
21,Arizona,2.0,Honda Civic,1998.0," 1,016 "
22,Arizona,3.0,Chevrolet Pickup (Full Size),2004.0, 850 
23,Arizona,4.0,Ford Pickup (Full Size),2006.0, 772 
24,Arizona,5.0,Dodge Pickup (Full Size),2001.0, 428 
25,Arizona,6.0,Nissan Altima,2015.0, 269 
26,Arizona,7.0,GMC Pickup (Full Size),2015.0, 246 
27,Arizona,8.0,Toyota Camry,1999.0, 210 
28,Arizona,9.0,Jeep Cherokee/Grand Cherokee,1994.0, 207 
29,Arizona,10.0,Nissan Sentra,2014.0, 200 
30,Arkansas,1.0,Chevrolet Pickup (Full Size),2004.0, 402 
31,Arkansas,2.0,Ford Pickup (Full Size),2008.0, 252 
32,Arkansas,3.0,GMC Pickup (Full Size),1997.0, 174 
33,Arkansas,4.0,Dodge Pickup (Full Size),1999.0, 127 
34,Arkansas,5.0,Honda Accord,1997.0, 122 
35,Arkansas,6.0,Nissan Altima,2015.0, 89 
36,Arkansas,7.0,Toyota Camry,2013.0, 82 
37,Arkansas,8.0,Chevrolet Impala,2012.0, 76 
38,Arkansas,9.0,Chevrolet Malibu,2006.0, 72 
39,Arkansas,10.0,Chevrolet Tahoe,2003.0, 68 
40,California,1.0,Honda Accord,1996.0," 28,345 "
41,California,2.0,Honda Civic,1998.0," 28,045 "
42,California,3.0,Chevrolet Pickup (Full Size),2006.0," 6,048 "
43,California,4.0,Toyota Camry,1991.0," 5,345 "
44,California,5.0,Ford Pickup (Full Size),2006.0," 4,504 "
45,California,6.0,Acura Integra,1994.0," 4,273 "
46,California,7.0,Toyota Corolla,2014.0," 3,339 "
47,California,8.0,Nissan Sentra,1997.0," 2,555 "
48,California,9.0,Nissan Altima,1997.0," 2,281 "
49,California,10.0,Honda CR-V,1999.0," 2,033 "
50,Colorado,1.0,Honda Civic,1997.0," 1,380 "
51,Colorado,2.0,Honda Accord,1997.0," 1,167 "
52,Colorado,3.0,Ford Pickup (Full Size),2005.0, 595 
53,Colorado,4.0,Jeep Cherokee/Grand Cherokee,1999.0, 594 
54,Colorado,5.0,Chevrolet Pickup (Full Size),2000.0, 450 
55,Colorado,6.0,Dodge Pickup (Full Size),2001.0, 308 
56,Colorado,7.0,Subaru Legacy,1996.0, 215 
57,Colorado,8.0,Acura Integra,1994.0, 208 
58,Colorado,9.0,Toyota Camry,1989.0, 203 
59,Colorado,10.0,Toyota Corolla,2014.0, 170 
60,Connecticut,1.0,Honda Accord,1997.0, 534 
61,Connecticut,2.0,Honda Civic,1998.0, 532 
62,Connecticut,3.0,Nissan Maxima,1998.0, 184 
63,Connecticut,4.0,Nissan Altima,1997.0, 143 
64,Connecticut,5.0,Toyota Camry,2014.0, 131 
65,Connecticut,6.0,Jeep Cherokee/Grand Cherokee,2000.0, 110 
66,Connecticut,7.0,Toyota Corolla,1999.0, 99 
67,Connecticut,8.0,Honda CR-V,1998.0, 92 
68,Connecticut,9.0,Dodge Caravan,2000.0, 79 
69,Connecticut,10.0,Acura TL,2003.0, 76 
70,Delaware,1.0,Honda Civic,2000.0, 53 
71,Delaware,2.0,Honda Accord,2004.0, 43 
72,Delaware,3.0,Chevrolet Pickup (Full Size),2005.0, 36 
73,Delaware,4.0,Ford Pickup (Full Size),1999.0, 31 
74,Delaware,5.0,Chevrolet Impala,2007.0, 28 
75,Delaware,6.0,Nissan Altima,2006.0, 23 
76,Delaware,6.0,Honda CR-V,2001.0, 23 
77,Delaware,7.0,Ford Taurus,2002.0, 22 
78,Delaware,8.0,Toyota Corolla,2010.0, 21 
79,Delaware,9.0,Toyota Camry,2012.0, 20 
80,District Of Columbia,1.0,Dodge Caravan,2002.0, 167 
81,District Of Columbia,2.0,Honda Accord,1997.0, 132 
82,District Of Columbia,3.0,Jeep Cherokee/Grand Cherokee,2001.0, 109 
83,District Of Columbia,4.0,Toyota Camry,2014.0, 95 
84,District Of Columbia,5.0,Toyota Corolla,2010.0, 70 
85,District Of Columbia,6.0,Nissan Altima,2015.0, 62 
86,District Of Columbia,7.0,Ford Pickup (Full Size),1997.0, 49 
87,District Of Columbia,8.0,Chevrolet Pickup (Full Size),1999.0, 41 
88,District Of Columbia,9.0,Chevrolet Impala,2013.0, 40 
89,District Of Columbia,9.0,Chrysler 300/300M,2005.0, 40 
90,Florida,1.0,Ford Pickup (Full Size),2006.0," 2,070 "
91,Florida,2.0,Honda Civic,2000.0," 1,127 "
92,Florida,3.0,Nissan Altima,2015.0," 1,098 "
93,Florida,4.0,Toyota Camry,2014.0," 1,089 "
94,Florida,5.0,Honda Accord,1997.0," 1,025 "
95,Florida,6.0,Toyota Corolla,2014.0, 914 
96,Florida,7.0,Chevrolet Pickup (Full Size),2015.0, 786 
97,Florida,8.0,Chevrolet Impala,2015.0, 542 
98,Florida,9.0,Dodge Pickup (Full Size),2005.0, 534 
99,Florida,10.0,Nissan Maxima,2014.0, 479 
100,Georgia,1.0,Honda Accord,1997.0," 1,052 "
101,Georgia,2.0,Ford Pickup (Full Size),2006.0, 954 
102,Georgia,3.0,Chevrolet Pickup (Full Size),1999.0, 948 
103,Georgia,4.0,Honda Civic,2000.0, 653 
104,Georgia,5.0,Toyota Camry,2014.0, 568 
105,Georgia,6.0,Chevrolet Impala,2008.0, 512 
