index,Theft_Year,Veh Model Yr,Vehicle,# of Thefts
0,2015,2015,Nissan Altima,"1,104"
1,2015,2015,Chrysler 200,"1,069"
2,2015,2015,Toyota Camry,923
3,2015,2015,Toyota Corolla,776
4,2015,2015,GMC Sierra,670
5,2015,2015,Dodge Charger,666
6,2015,2015,Hyundai Sonata,632
7,2015,2015,Chevrolet Malibu,629
8,2015,2015,Chevrolet Impala,594
9,2015,2015,Chevrolet Cruze,586
10,2015,2015,Nissan Versa,549
11,2015,2015,Ford Fusion,488
12,2015,2015,Hyundai Elantra,475
13,2015,2015,Chevrolet Camaro,461
14,2015,2015,Kia Motors Corporation Optima,461
15,2015,2015,Jeep Cherokee/Grand Cherokee,450
16,2015,2015,Honda Civic,388
17,2015,2015,Ford Transit,385
18,2015,2015,Nissan Sentra,383
19,2015,2015,Chevrolet Silverado,381
20,2015,2015,Dodge Dart,358
21,2015,2015,Honda Accord,350
22,2015,2015,Ford Focus,345
23,2015,2015,Ford Mustang,329
24,2015,2015,Chevrolet Tahoe,319
